SRX2527030,68,7
SRX2527031,23,6
SRX2527032,61,7
SRX2527033,64,10
SRX2527034,62,8
SRX2527035,28,6
SRX2527036,64,8
SRX2527037,65,9
SRX2527038,66,8
SRX2527039,22,5
SRX2527040,24,6
SRX2527041,71,9
SRX2527042,71,7
SRX2527043,63,8
SRX2527044,23,6
SRX2527045,28,6
SRX2527046,66,8
SRX2527047,67,8
SRX2527048,25,6
SRX2527049,24,6
SRX2527050,27,6
SRX2527051,49,6
SRX2527052,65,7
SRX2527053,60,7
SRX2527054,68,8
SRX2527055,29,5
SRX2527056,23,6
SRX2527057,26,5
SRX2527058,64,7
SRX2527059,63,7
SRX2527060,47,6
SRX2527061,63,8
SRX2527062,70,7
SRX2527063,30,5
SRX2527064,22,4
SRX2527065,44,6
SRX2527066,72,8
SRX2527067,69,9
SRX2527068,65,9
SRX2527069,68,7
SRX2527070,66,8
SRX2527071,25,6
SRX2527072,64,8
SRX2527073,23,7
SRX2527074,22,6
SRX2527075,25,5
SRX2527076,63,8
SRX2527077,65,9
SRX2527078,62,8
SRX2527079,69,9
SRX2527080,70,8
SRX2527081,64,7
SRX2527082,65,9
SRX2527083,64,7
SRX2527084,73,9
SRX2527085,64,7
SRX2527086,25,5
SRX2527087,63,7
SRX2527088,60,8
SRX2527089,64,9
SRX2527090,24,5
SRX2527091,26,5
SRX2527092,26,5
SRX2527093,61,8
SRX2527094,22,4
SRX2527095,67,7
SRX2527096,66,7
SRX2527097,22,6
SRX2527098,64,8
SRX2527099,25,5
SRX2527100,64,8
SRX2527101,27,4
SRX2527102,24,5
SRX2527103,21,4
SRX2527104,24,6
SRX2527105,66,9
SRX2527106,67,9
SRX2527107,63,10
SRX2527108,64,9
SRX2527109,67,7
SRX2527110,66,10
SRX2527111,66,8
SRX2527112,70,8
SRX2527113,25,5
SRX2527114,63,8
SRX2527115,61,7
SRX2527116,27,4
SRX2527118,28,5
SRX2527119,24,6
SRX2527120,47,7
SRX2527121,22,6
SRX2527122,27,5
SRX2527123,27,5
SRX2527124,62,7
SRX2527125,59,7
SRX2527126,23,6
SRX2527127,58,8
SRX2527128,67,8
SRX2527129,65,8
SRX2527130,59,8
SRX2527132,74,10
SRX2527133,24,6
SRX2527134,66,7
SRX2527135,65,8
SRX2527136,23,5
SRX2527137,66,7
SRX2527138,23,4
SRX2527139,62,7
SRX2527140,69,7
SRX2527141,62,8
SRX2527142,64,8
SRX2527143,70,7
SRX2527144,62,7
SRX2527145,56,8
SRX2527146,64,6
SRX2527147,45,7
SRX2527148,61,8
SRX2527149,66,7
SRX2527150,25,5
SRX2527151,26,5
SRX2527152,61,7
SRX2527153,23,5
SRX2527154,67,7
SRX2527155,65,8
SRX2527156,63,8
SRX2527157,62,8
SRX2527158,56,7
SRX2527159,62,8
SRX2527160,63,8
SRX2527161,63,10
SRX2527162,24,5
SRX2527163,62,8
SRX2527164,44,7
SRX2527165,66,8
SRX2527166,24,6
SRX2527167,65,8
SRX2527168,43,7
SRX2527169,26,5
SRX2527170,59,9
SRX2527171,61,6
SRX2527172,66,7
SRX2527173,64,9
SRX2527174,66,11
SRX2527175,24,5
SRX2527176,23,6
SRX2527177,64,7
SRX2527178,74,9
SRX2527179,59,8
SRX2527180,24,4
SRX2527181,65,8
SRX2527182,66,8
SRX2527183,61,7
SRX2527184,62,8
SRX2527185,63,9
SRX2527186,23,5
SRX2527187,61,8
SRX2527188,49,7
SRX2527189,47,7
SRX2527190,25,5
SRX2527191,25,6
SRX2527192,22,6
SRX2527193,27,5
SRX2527194,61,10
SRX2527195,64,9
SRX2995962,52,7
SRX2995963,46,6
SRX2995964,50,6
SRX2995965,48,7
SRX2995966,48,7
SRX2995967,35,6
SRX2995968,46,6
SRX2995969,45,6
SRX2995970,48,7
SRX2995972,48,7
SRX2995973,48,6
SRX2995974,54,7
SRX2995975,48,6
SRX2995976,36,6
SRX2995977,45,7
SRX2995978,51,6
SRX2995979,49,8
SRX2995980,50,7
SRX2995981,44,5
SRX2995983,53,6
SRX2995984,42,6
SRX2995985,47,7
SRX2995986,56,7
SRX2995987,48,6
SRX2995988,48,6
SRX2995990,46,8
SRX2995991,47,6
SRX2995992,50,6
SRX2995993,46,7
SRX2995994,43,6
SRX2995995,50,6
SRX2995996,47,6
SRX2995997,53,7
SRX2995998,47,6
SRX2995999,43,6
SRX2996000,46,6
SRX2996001,44,5
SRX2996002,45,6
SRX2996003,46,7
SRX2996004,47,6
SRX2996005,50,7
SRX2996006,48,7
SRX2996007,48,6
SRX2996008,51,7
SRX2996009,50,7
SRX2996010,51,7
SRX2996011,46,6
SRX2996012,48,6
SRX2996013,50,6
SRX2996014,48,7
SRX4901471,50,6
SRX4901472,46,5
SRX4901473,52,6
SRX4901474,49,7
SRX4901475,46,7
SRX4901476,48,6
SRX4901477,37,5
SRX4901478,48,5
SRX4901479,47,6
SRX4901480,50,6
SRX4901481,47,5
SRX4901482,46,6
