SRX2527153,202,31
SRX2527154,548,63
SRX2527155,547,74
SRX2527156,572,69
SRX2527157,558,63
SRX2527158,506,68
SRX2527159,544,61
SRX2527160,572,70
SRX2527161,532,69
SRX2527162,197,24
SRX2527163,524,66
SRX2527164,370,44
SRX2527165,547,65
SRX2527166,205,28
SRX2527167,562,66
SRX2527168,348,44
SRX2527169,203,24
SRX2527170,540,64
SRX2527171,551,65
SRX2527172,554,73
SRX2527173,531,65
SRX2527174,542,70
SRX2527175,202,30
SRX2527176,198,31
SRX2527177,548,62
SRX2527178,538,69
SRX2527179,501,65
SRX2527180,207,29
SRX2527181,540,66
SRX2527182,548,67
SRX2527183,515,68
SRX2527184,513,70
SRX2527185,568,72
SRX2527186,198,24
SRX2527187,519,71
SRX2527188,369,44
SRX2527189,352,43
SRX2527190,199,26
SRX2527191,186,28
SRX2527192,226,26
SRX2527193,214,25
SRX2527194,542,65
SRX2527195,528,66
SRX2995962,522,73
SRX2995963,500,74
SRX2995964,522,73
SRX2995965,539,77
SRX2995966,515,75
SRX2995967,756,89
SRX2995968,524,73
SRX2995969,514,72
SRX2995970,507,72
SRX2995972,482,72
SRX2995973,514,72
SRX2995974,534,72
SRX2995975,516,72
SRX2995976,794,97
SRX2995977,515,73
SRX2995978,530,74
SRX2995979,509,74
SRX2995980,520,77
SRX2995981,511,73
SRX2995983,547,77
SRX2995984,509,73
SRX2995985,509,71
SRX2995986,547,73
SRX2995987,506,71
SRX2995988,515,72
SRX2995990,525,73
SRX2995991,528,75
SRX2995992,534,72
SRX2995993,510,72
SRX2995994,524,71
SRX2995995,514,74
SRX2995996,501,75
SRX2995997,522,75
SRX2995998,521,72
SRX2995999,507,73
SRX2996000,506,72
SRX2996001,522,73
SRX2996002,508,74
SRX2996003,515,76
SRX2996004,503,73
SRX2996005,499,75
SRX2996006,526,74
SRX2996007,547,75
SRX2996008,541,74
SRX2996009,512,71
SRX2996010,537,72
SRX2996011,507,71
SRX2996012,521,74
SRX2996013,533,73
SRX2996014,530,73
SRX4901471,523,72
SRX4901472,513,71
SRX4901473,518,74
SRX4901474,514,72
SRX4901475,520,74
SRX4901476,525,72
SRX4901477,494,70
SRX4901478,522,72
SRX4901479,506,73
SRX4901480,534,74
SRX4901481,522,73
SRX4901482,521,74
SRX4901483,493,73
SRX4901484,508,75
SRX4901485,514,73
SRX4901486,516,74
SRX4901487,509,71
SRX4901488,514,74
SRX4901489,499,71
SRX4901490,486,73
